"Daily","Quotidien"
"Day","Jour"
"Month","Mois"
"Monthly","Mensuel"
"Never","Jamais"
"None","Aucune"
"Notified customer about invoice #%1.","Client informé de la facture n°%1."
"Product Deleted","Produit supprimé"
"Week","Semaine"
"Weekly","Hebdomadaire"
"Year","Année"
"Yearly","Annuel"
