"Daily","Dagelijks"
"Day","Dag"
"Month","Maand"
"Monthly","Maandelijks"
"Never","Nooit"
"None","Geen"
"Notified customer about invoice #%1.","Klant geïnformeerd over factuur %1."
"Product Deleted","Product verwijderd"
"Week","Week"
"Weekly","Wekelijks"
"Year","Jaar"
"Yearly","Jaarlijks"
